"Years","depth","Shoots_per","Inflorescences_per_shoot","Flowers_per_inflorescence","Pods_per_inflorescence","Seeds_per_pod","Seed_yield"
"2017","0",126.6666667,21.1403409066667,15.39393939,12.02512255,4.628571429,809.48333335
"2017","0",125,21.39393939,14.9292929266667,12.25,5.424242424,654.1166667
"2017","0",125,21.43333333,14.33333333,12.53125,4.909090909,964.85
"2017","0",123.3333333,20.59375,15.06060606,11.29411765,5.696969697,809.48333335
"2017","10",121.6666667,18.96666667,18.96969697,11.08175505,5.1875,809.5
"2017","10",100,21.84,14.74285714,11.09375,5.529411765,1358.17
"2017","10",111.111111133333,21.87878788,16.72727273,10.6969697,5.32720588233333,839.95
"2017","10",111.6666667,19.75,14.45714286,11.45454545,5.264705882,873.4833333
"2017","30",96.66666667,18.5862069,11.36363636,10.71875,4.205882353,742.2166667
"2017","30",125,17.32258065,15.42857143,11.3125,4.1875,732.6
"2017","30",115,22.63636364,12.84848485,10.7477904033333,4.10082442066667,1094.05
"2017","30",105,21.83870968,14.11764706,10.21212121,3.909090909,856.2888889
"2017","50",111.6666667,16.87878788,10.47368421,12.09090909,5.36363636366667,1042.5
"2017","50",165,24.5,16.33333333,11.8125,4.818181818,1000.4277779
"2017","50",146.6666667,21.66666667,15.33333333,11.96780303,5.454545455,910.4166667
"2017","50",91.66666667,20.09090909,13.67647059,12,5.818181818,1048.366667
"2018","0",210,16.63333333,16.6969697,11.5,5.28125,983.1333333
"2018","0",233.3333333,15.67741935,24.03333333,10.71875,4.303030303,1213.36666665
"2018","0",165,13.13333333,16.5,9.64516129,4.73920454533333,1213.36666665
"2018","0",140,19.4,22.5,11.78125,4.633333333,1443.6
"2018","10",225,13.77419355,19.16666667,12.0625,5.58051278933333,1439.675
"2018","10",288.3333333,15.66666667,18.4516129,12.21875,5.032258065,1439.675
"2018","10",235,22.13333333,20,12.0625,6.40625,1239.083333
"2018","10",249.444444433333,24.31034483,21.36666667,11.90625,5.303030303,1640.266667
"2018","30",208.3333333,17.58064516,19.26666667,13.19354839,6.5,936.125
"2018","30",196.6666667,18.9,17.6345878133333,11.97058824,4.939393939,729.6
"2018","30",210,18.23799283,17.38709677,12.29127135,4.363636364,936.125
"2018","30",205,18.23333333,16.25,11.70967742,5.46875,1142.65
"2018","50",220,11.66666667,22.5555555533333,13.6969697,4.16607248933333,314.611111133333
"2018","50",208.3333333,14.03333333,23.03333333,10.71875,4,165.7
"2018","50",243.3333333,15.25,21.53333333,11.65625,3.939393939,572.1666667
"2018","50",223.888888866667,13.65,23.1,12.23529412,4.558823529,205.9666667
"2019","0",235,26.5625,20.6428810166667,11.06060606,3.666666667,195.8333333
"2019","0",242.2222222,26.90909091,21.82352941,10.18181818,4.848484848,136.1666667
"2019","0",263.3333333,27.0864899,20.46875,10.51515152,4.314285714,124.8333333
"2019","0",228.3333333,27.78787879,19.63636364,9.742857143,3.617647059,291.8333333
"2019","10",181.6666667,23.57575758,20.78787879,10.05882353,5.515151515,300.1666667
"2019","10",253.3333333,23.55350379,20.09090909,10.4375,5.484848485,157.1666667
"2019","10",280,23.53125,18.59375,9.575757576,4.088235294,248.944444466667
"2019","10",198.3333333,23.55350379,17.96875,9.342857143,4.142857143,289.5
"2019","30",231.6666667,26.875,19.75757576,10.60606061,4.939393939,251.3333333
"2019","30",235,26.36363636,19.73529412,10.60606061,5.487179487,217.8333333
"2019","30",213.3333333,23.46875,19.8726232933333,10.4726678566667,4.114285714,155
"2019","30",226.666666666667,22.75757576,20.125,10.20588235,3.617647059,290.8333333
"2019","50",255,25.12121212,19.6969697,11.15625,5.666666667,133.1666667
"2019","50",240,25.13873106,20.12121212,12.87878788,5.515151515,187.166666666667
"2019","50",251.6666667,25.13873106,21.21875,10.32352941,4.333333333,289.5
"2019","50",213.3333333,25.15625,20.34564394,8.558823529,4.117647059,138.8333333
"2020","0",253.3333333,39.96875,17,8.8125,4.814867424,1007.95
"2020","0",260,35.18181818,17.9583333333333,9.575757576,4.78125,368
"2020","0",286.6666667,37.06060606,18.21875,11.93939394,4.848484848,434.3833333
"2020","0",313.3333333,36.03125,18.65625,11.40625,4.814867424,1075.65
"2020","10",263.3333333,36.8910697366667,18.48484848,12.6041666666667,5.5,997.4333333
"2020","10",238.3333333,38.47058824,18.78125,11.8125,6.121212121,1000.666667
"2020","10",243.3333333,33.48387097,18.3125,13.25,4.78125,999.05000015
"2020","10",228.3333333,38.71875,18.90625,12.75,4.96875,999.05000015
"2020","30",148.3333333,34.409803925,21.28125,12.28315412,5,665.3333333
"2020","30",303.3333333,32.35294118,20.15151515,12.2,4.733333333,922.4166667
"2020","30",250,34.409803925,20.61300505,12.13333333,4.545454545,869.533333333333
"2020","30",233.888888866667,36.46666667,20.40625,12.51612903,4.96969697,1020.85
"2020","50",270,34.53125,17.65625,11,5.24137931,1105.183333
"2020","50",143.3333333,35.99463384,18.38709677,11.51612903,4.34375,668.5833333
"2020","50",360,37.51515152,19.5,14.65625,4.774193548,1561.216667
"2020","50",161.6666667,35.9375,19.1875,13,4.151515152,1111.6611111
"2021","0",195,23.51724138,17.5,10.7,5.266666667,400
"2021","0",163.3333333,29.10344828,16.5,11.1,5.033333333,400
"2021","0",226.6666667,25.5862069,17,8.5,5.1,400
"2021","0",218.3333333,27.20689655,17,9.666666667,5,400
"2021","10",161.6666667,27.0459770133333,18.96428571,12.10344828,5.566666667,1041.666667
"2021","10",165,26.79310345,17.67857143,11.63333333,5.3,996.6666667
"2021","10",178.3333333,23.62068966,17.10714286,11.53333333,6.233333333,1645
"2021","10",168.333333333333,30.72413793,20.64285714,11.75670498,4.1,1575
"2021","30",189.16666665,23.64367816,18.39285714,11.23333333,6.133333333,1340
"2021","30",189.16666665,24.96551724,18.92857143,10.06666667,5.3,628.3333333
"2021","30",193.3333333,22.13793103,18.14285714,11.73333333,6.066666667,1243.333333
"2021","30",185,23.82758621,18.4880952366667,9.966666667,4.766666667,925
"2021","50",120,25.82758621,16.78571429,10.3,6.6,1087.5
"2021","50",123.3333333,21.48275862,16.92857143,10.8,6.43333333333333,1075
"2021","50",190,20.20689655,18.06666667,10.53333333,6.2,1087.5
"2021","50",200,22.5057471266667,18.92857143,9.9,6.5,1100
